time_epoch,time_str,real_id,x,y,camera_id
1785723326.244,09:15:26,Lon_Vang_02,0.4982,0.6407,cam1
1785723327.256,09:15:27,Lon_Vang_02,0.5786,0.5815,cam1
1785723328.275,09:15:28,Lon_Vang_02,0.4643,0.6296,cam1
1785723329.293,09:15:29,Lon_Vang_02,0.3893,0.6278,cam1
1785723330.307,09:15:30,Lon_Vang_02,0.4268,0.5815,cam1
1785723331.338,09:15:31,Lon_Vang_02,0.5304,0.6204,cam1
1785723332.350,09:15:32,Lon_Vang_02,0.5518,0.6519,cam1
1785723333.364,09:15:33,Lon_Vang_02,0.5161,0.6667,cam1
1785723334.476,09:15:34,Lon_Vang_02,0.5107,0.6685,cam1
1785723335.491,09:15:35,Lon_Vang_02,0.5714,0.6741,cam1
1785723336.503,09:15:36,Lon_Vang_02,0.5571,0.6722,cam1
1785723337.669,09:15:37,Lon_Vang_02,0.5000,0.6685,cam1
1785723338.696,09:15:38,Lon_Vang_02,0.5821,0.6685,cam1
1785723339.703,09:15:39,Lon_Vang_02,0.4946,0.6759,cam1
1785723340.750,09:15:40,Lon_Vang_02,0.4607,0.7000,cam1
1785723349.288,09:15:49,Lon_Vang_02,0.5393,0.5593,cam1
1785723350.321,09:15:50,Lon_Vang_02,0.4696,0.4778,cam1
1785723351.331,09:15:51,Lon_Vang_02,0.6482,0.5481,cam1
1785723352.343,09:15:52,Lon_Vang_02,0.6018,0.5981,cam1
1785723353.358,09:15:53,Lon_Vang_02,0.3143,0.4370,cam1
1785723354.389,09:15:54,Lon_Vang_02,0.4536,0.4648,cam1
1785723355.405,09:15:55,Lon_Vang_02,0.4732,0.4630,cam1
1785723356.415,09:15:56,Lon_Vang_02,0.6179,0.4759,cam1
1785723357.433,09:15:57,Lon_Vang_02,0.4964,0.3852,cam1
1785723358.450,09:15:58,Lon_Vang_02,0.7714,0.3333,cam1
1785723359.456,09:15:59,Lon_Vang_02,0.9071,0.1741,cam1
1785723386.046,09:16:26,Lon_Xanhduong_04,0.8357,0.3611,cam1
1785723387.110,09:16:27,Lon_Xanhduong_04,0.8357,0.3611,cam1
1785723388.145,09:16:28,Lon_Xanhduong_04,0.8357,0.3611,cam1
1785758004.532,18:53:24,Lon_Xanhduong_04,0.6518,0.5185,cam1
1785758005.533,18:53:25,Lon_Xanhduong_04,0.6696,0.5148,cam1
1785758339.455,18:58:59,Lon_Xanhduong_04,0.2536,0.5407,cam2
1785758340.575,18:59:00,Lon_Xanhduong_04,0.2804,0.4444,cam2
1785758341.584,18:59:01,Lon_Xanhduong_04,0.2589,0.4667,cam2
1785758342.592,18:59:02,Lon_Xanhduong_04,0.3214,0.4722,cam2
1785758343.626,18:59:03,Lon_Xanhduong_04,0.1946,0.5981,cam2
1785758344.700,18:59:04,Lon_Xanhduong_04,0.3911,0.6093,cam2
1785758345.721,18:59:05,Lon_Xanhduong_04,0.3250,0.6074,cam2
1785758346.824,18:59:06,Lon_Xanhduong_04,0.3821,0.5704,cam2
1785758346.983,18:59:06,Lon_Vang_02,0.7054,0.5833,cam2
1785758347.829,18:59:07,Lon_Xanhduong_04,0.4071,0.5611,cam2
1785758347.991,18:59:07,Lon_Vang_02,0.7750,0.5630,cam2
1785758348.854,18:59:08,Lon_Xanhduong_04,0.3518,0.5352,cam2
